n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,pe_correlation,size_label,correlation_label
50,0.500000,0.400000,4.000000,6,200,41,855,1331,Strengthened CPLEX MILP heuristic-start,21,21.000000,1,0,0.071688,21,600.000000,1,8,2266.000000,1411.000000,0.831875,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,7,200,36,898,1433,Strengthened CPLEX MILP heuristic-start,21,21.000000,1,2329,3.770298,22,600.000000,1,15,2481.000000,1583.000000,0.477667,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,8,196,42,847,1387,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.079775,19,600.000000,1,10,2334.000000,1487.000000,0.707653,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,9,192,41,838,1203,Strengthened CPLEX MILP heuristic-start,22,22.000000,1,0,0.073980,22,600.000000,1,8,2121.000000,1283.000000,0.783203,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,10,196,40,882,1271,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.078315,16,600.000000,1,8,2233.000000,1351.000000,0.810587,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,11,196,42,787,1223,Strengthened CPLEX MILP heuristic-start,23,23.000000,1,0,0.061628,23,600.000000,1,7,2080.000000,1293.000000,0.891399,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,12,200,40,829,1264,Strengthened CPLEX MILP heuristic-start,22,22.000000,1,0,0.081351,22,600.000000,1,7,2163.000000,1334.000000,0.902857,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,13,200,40,794,1225,Strengthened CPLEX MILP heuristic-start,22,22.000000,1,0,0.055409,22,600.000000,1,8,2099.000000,1305.000000,0.765625,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,14,188,35,742,1203,Strengthened CPLEX MILP heuristic-start,21,21.000000,1,0,0.065445,21,600.000000,1,7,2015.000000,1273.000000,0.914134,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,15,200,42,815,1298,Strengthened CPLEX MILP heuristic-start,21,21.000000,1,0,0.054561,21,600.000000,1,8,2193.000000,1378.000000,0.811250,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,16,200,41,801,1406,Strengthened CPLEX MILP heuristic-start,24,24.000000,1,0,0.078295,24,600.000000,1,8,2287.000000,1486.000000,0.878750,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,17,200,40,739,1260,Strengthened CPLEX MILP heuristic-start,20,20.000000,1,0,0.059384,20,600.000000,1,7,2069.000000,1330.000000,0.900000,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,18,200,42,798,1405,Strengthened CPLEX MILP heuristic-start,22,22.000000,1,0,0.076605,22,600.000000,1,9,2293.000000,1495.000000,0.780556,-1.000000,10.000000,1.000000,negative,exact,negative
50,0.500000,0.400000,4.000000,19,200,42,796,1263,Strengthened CPLEX MILP heuristic-start,22,22.000000,1,0,0.077204,22,600.000000,1,8,2139.000000,1343.000000,0.789375,-1.000000,10.000000,1.000000,negative,exact,negative
100,0.500000,0.400000,4.000000,0,200,54,1576,2692,GRASP-PR heuristic,20,20.000000,1,0,0.009865,20,30.000000,1,15,4418.000000,2842.000000,0.897333,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,1,200,57,1480,2515,GRASP-PR heuristic,23,23.000000,1,0,0.009193,23,30.000000,1,15,4145.000000,2665.000000,0.838333,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,2,200,59,1683,2639,GRASP-PR heuristic,28,28.000000,1,0,0.009310,28,30.000000,1,15,4472.000000,2789.000000,0.879667,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,3,200,61,1639,2733,GRASP-PR heuristic,26,26.000000,1,0,0.009792,26,30.000000,1,16,4532.000000,2893.000000,0.854063,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,4,196,53,1601,2654,GRASP-PR heuristic,24,24.000000,1,0,0.010158,24,30.000000,1,15,4405.000000,2804.000000,0.902721,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,5,200,58,1582,2717,GRASP-PR heuristic,25,25.000000,1,0,0.010211,25,30.000000,1,15,4449.000000,2867.000000,0.905667,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,6,200,57,1515,2505,GRASP-PR heuristic,22,22.000000,1,0,0.009564,22,30.000000,1,15,4170.000000,2655.000000,0.835000,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,7,200,60,1648,2548,GRASP-PR heuristic,24,24.000000,1,0,0.009628,24,30.000000,1,15,4346.000000,2698.000000,0.849333,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,8,196,53,1657,2540,GRASP-PR heuristic,24,24.000000,1,0,0.009481,24,30.000000,1,14,4337.000000,2680.000000,0.925656,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,9,200,60,1475,2435,GRASP-PR heuristic,23,23.000000,1,0,0.009120,23,30.000000,1,14,4050.000000,2575.000000,0.869643,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,10,196,64,1499,2612,GRASP-PR heuristic,23,23.000000,1,0,0.009825,23,30.000000,1,15,4261.000000,2762.000000,0.888435,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,11,200,57,1637,2454,GRASP-PR heuristic,23,23.000000,1,0,0.008670,23,30.000000,1,14,4231.000000,2594.000000,0.876429,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,12,196,61,1555,2613,GRASP-PR heuristic,23,23.000000,1,0,0.009767,23,30.000000,1,15,4318.000000,2763.000000,0.888776,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,13,200,63,1605,2686,GRASP-PR heuristic,23,23.000000,1,0,0.009943,23,30.000000,1,15,4441.000000,2836.000000,0.895333,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,14,200,57,1529,2675,GRASP-PR heuristic,25,25.000000,1,0,0.010050,25,30.000000,1,15,4354.000000,2825.000000,0.891667,-1.000000,10.000000,1.000000,positive,robust,positive
