n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,2.500000,24,118,50,830,1166,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.066071,14,600.000000,1,12,2116.000000,1286.000000,0.823446
50,0.500000,0.400000,2.500000,25,125,50,717,1442,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.056056,15,600.000000,1,15,2309.000000,1592.000000,0.769067
50,0.500000,0.400000,2.500000,26,123,50,754,1378,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,2397,3.538911,15,600.000000,1,20,2332.000000,1578.000000,0.560163
50,0.500000,0.400000,2.500000,27,125,49,800,1339,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.059735,15,600.000000,1,13,2269.000000,1469.000000,0.824000
50,0.500000,0.400000,2.500000,28,125,50,831,1308,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,76488,36.353891,17,600.000000,1,15,2289.000000,1458.000000,0.697600
50,0.500000,0.400000,2.500000,29,125,50,838,1363,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.081800,15,600.000000,1,14,2341.000000,1503.000000,0.778857
50,0.500000,0.400000,3.000000,0,150,48,814,1289,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.055330,15,600.000000,1,11,2213.000000,1399.000000,0.781212
50,0.500000,0.400000,3.000000,1,150,47,859,1096,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,0,0.055633,13,600.000000,1,9,2045.000000,1186.000000,0.811852
50,0.500000,0.400000,3.000000,2,150,49,916,1281,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,0,0.065386,13,600.000000,1,10,2297.000000,1381.000000,0.854000
50,0.500000,0.400000,3.000000,3,147,49,741,1482,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.048374,16,600.000000,1,12,2343.000000,1602.000000,0.840136
50,0.500000,0.400000,3.000000,4,150,49,756,1285,"Strengthened CPLEX MILP heuristic-start",18,18.000000,1,0,0.049718,18,600.000000,1,11,2151.000000,1395.000000,0.778788
50,0.500000,0.400000,3.000000,5,150,49,849,1440,"Strengthened CPLEX MILP heuristic-start",19,19.000000,1,0,0.064451,19,600.000000,1,12,2409.000000,1560.000000,0.800000
50,0.500000,0.400000,3.000000,6,150,49,855,1331,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.061544,15,600.000000,1,10,2286.000000,1431.000000,0.887333
50,0.500000,0.400000,3.000000,7,150,49,898,1433,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,1000,0.817411,17,600.000000,1,18,2511.000000,1613.000000,0.530741
50,0.500000,0.400000,3.000000,8,147,50,847,1387,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.050931,15,600.000000,1,11,2344.000000,1497.000000,0.857761
50,0.500000,0.400000,3.000000,9,144,50,838,1203,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.048523,17,600.000000,1,11,2151.000000,1313.000000,0.759470
50,0.500000,0.400000,3.000000,10,147,49,882,1271,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,220,0.420713,14,600.000000,1,11,2263.000000,1381.000000,0.786024
50,0.500000,0.400000,3.000000,11,147,49,787,1223,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.063151,14,600.000000,1,11,2120.000000,1333.000000,0.756339
50,0.500000,0.400000,3.000000,12,150,48,829,1264,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,2125,1.414627,18,600.000000,1,14,2233.000000,1404.000000,0.601905
50,0.500000,0.400000,3.000000,13,150,50,794,1225,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.050117,16,600.000000,1,10,2119.000000,1325.000000,0.816667
50,0.500000,0.400000,3.000000,14,141,49,742,1203,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.060024,14,600.000000,1,10,2045.000000,1303.000000,0.853191
50,0.500000,0.400000,3.000000,15,150,48,815,1298,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.051373,17,600.000000,1,10,2213.000000,1398.000000,0.865333
50,0.500000,0.400000,3.000000,16,150,49,801,1406,"Strengthened CPLEX MILP heuristic-start",17,17.000000,1,0,0.065649,17,600.000000,1,12,2327.000000,1526.000000,0.781111
50,0.500000,0.400000,3.000000,17,150,50,739,1260,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.051681,15,600.000000,1,10,2099.000000,1360.000000,0.840000
