n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,3.000000,3,147,49,741,1482,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.048374,16,600.000000,1,12,2343.000000,1602.000000,0.840136
50,0.500000,0.400000,3.000000,4,150,49,756,1285,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,0,0.049718,18,600.000000,1,11,2151.000000,1395.000000,0.778788
50,0.500000,0.400000,3.000000,5,150,49,849,1440,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.064451,19,600.000000,1,12,2409.000000,1560.000000,0.800000
50,0.500000,0.400000,3.000000,6,150,49,855,1331,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.061544,15,600.000000,1,10,2286.000000,1431.000000,0.887333
50,0.500000,0.400000,3.000000,7,150,49,898,1433,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,1000,0.817411,17,600.000000,1,18,2511.000000,1613.000000,0.530741
50,0.500000,0.400000,3.000000,8,147,50,847,1387,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.050931,15,600.000000,1,11,2344.000000,1497.000000,0.857761
50,0.500000,0.400000,3.000000,9,144,50,838,1203,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.048523,17,600.000000,1,11,2151.000000,1313.000000,0.759470
50,0.500000,0.400000,3.000000,10,147,49,882,1271,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,220,0.420713,14,600.000000,1,11,2263.000000,1381.000000,0.786024
50,0.500000,0.400000,3.000000,11,147,49,787,1223,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.063151,14,600.000000,1,11,2120.000000,1333.000000,0.756339
50,0.500000,0.400000,3.000000,12,150,48,829,1264,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,2125,1.414627,18,600.000000,1,14,2233.000000,1404.000000,0.601905
50,0.500000,0.400000,3.000000,13,150,50,794,1225,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.050117,16,600.000000,1,10,2119.000000,1325.000000,0.816667
50,0.500000,0.400000,3.000000,14,141,49,742,1203,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.060024,14,600.000000,1,10,2045.000000,1303.000000,0.853191
50,0.500000,0.400000,3.000000,15,150,48,815,1298,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.051373,17,600.000000,1,10,2213.000000,1398.000000,0.865333
50,0.500000,0.400000,3.000000,16,150,49,801,1406,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.065649,17,600.000000,1,12,2327.000000,1526.000000,0.781111
50,0.500000,0.400000,3.000000,17,150,50,739,1260,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.051681,15,600.000000,1,10,2099.000000,1360.000000,0.840000
50,0.500000,0.400000,3.000000,19,150,50,796,1263,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.067429,15,600.000000,1,10,2159.000000,1363.000000,0.842000
50,0.500000,0.400000,3.000000,20,147,49,737,1446,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.048154,19,600.000000,1,12,2303.000000,1566.000000,0.819728
50,0.500000,0.400000,3.500000,0,175,48,814,1289,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.060733,15,600.000000,1,9,2193.000000,1379.000000,0.818413
50,0.500000,0.400000,3.500000,1,175,47,859,1096,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.057822,13,600.000000,1,8,2035.000000,1176.000000,0.782857
