n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
100,0.500000,0.400000,3.000000,12,147,97,1555,2613,"GRASP-PR full-recharge heuristic",32,28.000000,0,626855,15.032354,36,30.000000,1,19,4538.000000,2983.000000,0.935553
100,0.500000,0.400000,3.000000,13,150,98,1605,2686,"GRASP-PR full-recharge heuristic",29,28.000000,0,633064,15.014031,32,30.000000,1,19,4645.000000,3040.000000,0.942456
100,0.500000,0.400000,3.000000,14,150,96,1529,2675,"GRASP-PR full-recharge heuristic",33,31.000000,0,648880,15.062610,36,30.000000,1,19,4569.000000,3040.000000,0.938596
100,0.500000,0.400000,3.000000,15,150,97,1657,2436,"GRASP-PR full-recharge heuristic",34,32.000000,0,616790,15.033953,36,30.000000,1,17,4377.000000,2720.000000,0.955294
100,0.500000,0.400000,3.000000,16,150,94,1506,2635,"GRASP-PR full-recharge heuristic",29,28.000000,0,612818,15.048403,32,30.000000,1,19,4546.000000,3040.000000,0.924561
100,0.500000,0.400000,3.000000,17,150,98,1718,2800,"GRASP-PR full-recharge heuristic",31,29.000000,0,625862,15.012337,33,30.000000,1,20,4918.000000,3200.000000,0.933333
100,0.500000,0.400000,3.000000,18,147,96,1633,2608,"GRASP-PR full-recharge heuristic",29,27.000000,0,605846,15.036101,35,30.000000,1,19,4616.000000,2983.000000,0.933763
100,0.500000,0.400000,3.000000,19,150,94,1553,2768,"GRASP-PR full-recharge heuristic",31,29.000000,0,642149,15.065201,34,30.000000,1,20,4753.000000,3200.000000,0.922667
100,0.500000,0.400000,3.000000,20,150,96,1605,2797,"GRASP-PR full-recharge heuristic",32,31.000000,0,638154,15.008043,35,30.000000,1,20,4805.000000,3200.000000,0.932333
100,0.500000,0.400000,3.500000,0,175,94,1576,2692,"GRASP-PR full-recharge heuristic",26,24.000000,0,602547,15.129832,29,30.000000,1,16,4536.000000,2960.000000,0.961429
100,0.500000,0.400000,3.500000,1,175,96,1480,2515,"GRASP-PR full-recharge heuristic",29,28.000000,0,598529,15.002473,31,30.000000,1,15,4255.000000,2775.000000,0.958095
100,0.500000,0.400000,3.500000,2,175,95,1683,2639,"GRASP-PR full-recharge heuristic",36,34.000000,0,538672,15.083284,39,30.000000,1,16,4643.000000,2960.000000,0.942500
100,0.500000,0.400000,3.500000,3,175,97,1639,2733,"GRASP-PR full-recharge heuristic",35,31.000000,0,602999,15.014820,38,30.000000,1,17,4784.000000,3145.000000,0.918655
100,0.500000,0.400000,3.500000,4,172,98,1601,2654,"GRASP-PR full-recharge heuristic",29,27.000000,0,588097,15.084435,33,30.000000,1,16,4513.000000,2912.000000,0.964390
100,0.500000,0.400000,3.500000,5,175,97,1582,2717,"GRASP-PR full-recharge heuristic",33,31.000000,0,607710,15.015160,34,30.000000,1,16,4542.000000,2960.000000,0.970357
100,0.500000,0.400000,3.500000,6,175,96,1515,2505,"GRASP-PR full-recharge heuristic",29,27.000000,0,603843,15.055630,32,30.000000,1,15,4290.000000,2775.000000,0.954286
100,0.500000,0.400000,3.500000,7,175,97,1648,2548,"GRASP-PR full-recharge heuristic",30,29.000000,0,597450,15.025012,33,30.000000,1,15,4423.000000,2775.000000,0.970667
100,0.500000,0.400000,3.500000,8,172,96,1657,2540,"GRASP-PR full-recharge heuristic",30,30.000000,1,166193,4.136118,32,30.000000,1,16,4569.000000,2912.000000,0.922965
100,0.500000,0.400000,3.500000,9,175,98,1475,2435,"GRASP-PR full-recharge heuristic",31,31.000000,1,397502,10.490061,32,30.000000,1,15,4250.000000,2775.000000,0.927619
100,0.500000,0.400000,3.500000,10,172,97,1499,2612,"GRASP-PR full-recharge heuristic",31,29.000000,0,609599,15.032803,33,30.000000,1,16,4411.000000,2912.000000,0.949128
100,0.500000,0.400000,3.500000,11,175,95,1637,2454,"GRASP-PR full-recharge heuristic",32,30.000000,0,588198,15.042061,34,30.000000,1,15,4412.000000,2775.000000,0.934857
100,0.500000,0.400000,3.500000,12,172,97,1555,2613,"GRASP-PR full-recharge heuristic",32,28.000000,0,605351,15.076583,38,30.000000,1,16,4467.000000,2912.000000,0.949491
100,0.500000,0.400000,3.500000,13,175,98,1605,2686,"GRASP-PR full-recharge heuristic",29,28.000000,0,622482,15.070986,34,30.000000,1,16,4565.000000,2960.000000,0.959286
100,0.500000,0.400000,3.500000,14,175,96,1529,2675,"GRASP-PR full-recharge heuristic",33,31.000000,0,604371,15.030128,35,30.000000,1,16,4489.000000,2960.000000,0.955357
100,0.500000,0.400000,3.500000,15,175,97,1657,2436,"GRASP-PR full-recharge heuristic",33,32.000000,0,583878,15.089741,37,30.000000,1,15,4432.000000,2775.000000,0.928000
100,0.500000,0.400000,3.500000,16,175,94,1506,2635,"GRASP-PR full-recharge heuristic",29,28.000000,0,597754,15.063221,32,30.000000,1,16,4466.000000,2960.000000,0.941071
100,0.500000,0.400000,3.500000,17,175,98,1718,2800,"GRASP-PR full-recharge heuristic",30,28.000000,0,580077,15.019056,31,30.000000,1,17,4863.000000,3145.000000,0.941176
100,0.500000,0.400000,3.500000,18,172,96,1633,2608,"GRASP-PR full-recharge heuristic",30,27.000000,0,592373,15.067497,35,30.000000,1,16,4545.000000,2912.000000,0.947674
100,0.500000,0.400000,3.500000,19,175,94,1553,2768,"GRASP-PR full-recharge heuristic",30,28.000000,0,597556,15.099295,34,30.000000,1,17,4698.000000,3145.000000,0.930420
100,0.500000,0.400000,3.500000,20,175,96,1605,2797,"GRASP-PR full-recharge heuristic",32,30.000000,0,629600,15.065966,36,30.000000,1,17,4750.000000,3145.000000,0.940168
