n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,policy
40,0.500000,0.400000,3.000000,17,150,40,537,980,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,2101,0.919950,15,180.000000,1,9,1854.500000,1317.500000,0.725926,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,18,150,39,643,1063,Full-recharge strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.062227,12,180.000000,1,8,2143.000000,1500.000000,0.885833,0.200000,37.500000,1.000000,full
40,0.500000,0.400000,3.000000,18,150,39,643,1063,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.050480,12,180.000000,1,8,2006.000000,1363.000000,0.885833,0.200000,37.500000,1.000000,partial
40,0.500000,0.400000,3.000000,19,147,39,612,1028,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,39848,59.156242,15,180.000000,1,9,2265.750000,1653.750000,0.777022,0.200000,36.750000,1.000000,full
40,0.500000,0.400000,3.000000,19,147,39,612,1028,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.047709,13,180.000000,1,9,1970.750000,1358.750000,0.777022,0.200000,36.750000,1.000000,partial
40,0.500000,0.400000,3.000000,0,150,40,508,1156,Full-recharge strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.060169,17,180.000000,1,9,3883.000000,3375.000000,0.856296,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,0,150,40,508,1156,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.057235,17,180.000000,1,9,3689.000000,3181.000000,0.856296,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,1,147,40,580,1036,Full-recharge strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.065088,16,180.000000,1,8,3520.000000,2940.000000,0.880952,0.600000,220.500000,1.000000,full
40,0.500000,0.400000,3.000000,1,147,40,580,1036,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.056585,16,180.000000,1,8,3380.000000,2800.000000,0.880952,0.600000,220.500000,1.000000,partial
40,0.500000,0.400000,3.000000,2,150,40,726,1078,Full-recharge strengthened CPLEX MILP heuristic-start,17,17.000000,1,692,0.487980,19,180.000000,1,10,4476.000000,3750.000000,0.718667,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,2,150,40,726,1078,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.054463,17,180.000000,1,8,3604.000000,2878.000000,0.898333,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,3,150,40,621,955,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.051122,13,180.000000,1,7,3246.000000,2625.000000,0.909524,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,3,150,40,621,955,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.045406,13,180.000000,1,7,3151.000000,2530.000000,0.909524,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,4,147,39,652,1008,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,250,0.779567,15,180.000000,1,10,4327.000000,3675.000000,0.685714,0.600000,220.500000,1.000000,full
40,0.500000,0.400000,3.000000,4,147,39,652,1008,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,2601,3.467798,15,180.000000,1,17,5408.500000,4756.500000,0.403361,0.600000,220.500000,1.000000,partial
40,0.500000,0.400000,3.000000,5,144,39,619,1150,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,16203,43.049680,18,180.000000,1,9,3859.000000,3240.000000,0.887346,0.600000,216.000000,1.000000,full
40,0.500000,0.400000,3.000000,5,144,39,619,1150,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,576,0.903511,15,180.000000,1,11,4145.000000,3526.000000,0.726010,0.600000,216.000000,1.000000,partial
40,0.500000,0.400000,3.000000,6,144,40,580,1047,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,39481,40.449491,16,180.000000,1,10,4180.000000,3600.000000,0.727083,0.600000,216.000000,1.000000,full
40,0.500000,0.400000,3.000000,6,144,40,580,1047,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,1771,1.854500,14,180.000000,1,9,3571.000000,2991.000000,0.807870,0.600000,216.000000,1.000000,partial
40,0.500000,0.400000,3.000000,7,147,39,627,1029,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,9973,19.285089,18,180.000000,1,10,4302.000000,3675.000000,0.700000,0.600000,220.500000,1.000000,full
40,0.500000,0.400000,3.000000,7,147,39,627,1029,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,16456,11.422427,14,180.000000,1,15,4963.500000,4336.500000,0.466667,0.600000,220.500000,1.000000,partial
40,0.500000,0.400000,3.000000,8,147,39,624,1156,Full-recharge strengthened CPLEX MILP heuristic-start,18,18.000000,1,787,1.569630,19,180.000000,1,10,4299.000000,3675.000000,0.786395,0.600000,220.500000,1.000000,full
40,0.500000,0.400000,3.000000,8,147,39,624,1156,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,0,0.171208,19,180.000000,1,14,4867.000000,4243.000000,0.561710,0.600000,220.500000,1.000000,partial
40,0.500000,0.400000,3.000000,9,150,40,669,1026,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,657,1.651844,15,180.000000,1,10,4419.000000,3750.000000,0.684000,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,9,150,40,669,1026,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,1000,1.567716,15,180.000000,1,13,4620.000000,3951.000000,0.526154,0.600000,225.000000,1.000000,partial
