n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,3.000000,14,141,49,742,1203,"GRASP-PR heuristic",14,14.000000,1,0,0.001278,14,30.000000,1,10,2045.000000,1303.000000,0.853191
50,0.500000,0.400000,3.000000,15,150,48,815,1298,"GRASP-PR heuristic",17,17.000000,1,0,0.001360,17,30.000000,1,10,2213.000000,1398.000000,0.865333
50,0.500000,0.400000,3.000000,16,150,49,801,1406,"GRASP-PR heuristic",17,17.000000,1,0,0.001422,17,30.000000,1,12,2327.000000,1526.000000,0.781111
50,0.500000,0.400000,3.000000,17,150,50,739,1260,"GRASP-PR heuristic",15,15.000000,1,0,0.001336,15,30.000000,1,10,2099.000000,1360.000000,0.840000
50,0.500000,0.400000,3.000000,18,150,49,798,1405,"GRASP-PR heuristic",16,16.000000,1,0,0.001461,16,30.000000,1,11,2313.000000,1515.000000,0.851515
50,0.500000,0.400000,3.000000,19,150,50,796,1263,"GRASP-PR heuristic",15,15.000000,1,0,0.001344,15,30.000000,1,10,2159.000000,1363.000000,0.842000
50,0.500000,0.400000,3.000000,20,147,49,737,1446,"GRASP-PR heuristic",19,19.000000,1,0,0.001464,19,30.000000,1,12,2303.000000,1566.000000,0.819728
50,0.500000,0.400000,3.500000,0,175,48,814,1289,"GRASP-PR heuristic",15,15.000000,1,0,0.001345,15,30.000000,1,9,2193.000000,1379.000000,0.818413
50,0.500000,0.400000,3.500000,1,175,47,859,1096,"GRASP-PR heuristic",13,13.000000,1,0,0.001234,13,30.000000,1,8,2035.000000,1176.000000,0.782857
50,0.500000,0.400000,3.500000,2,175,49,916,1281,"GRASP-PR heuristic",13,13.000000,1,0,0.001353,13,30.000000,1,9,2287.000000,1371.000000,0.813333
50,0.500000,0.400000,3.500000,3,172,49,741,1482,"GRASP-PR heuristic",16,16.000000,1,0,0.001525,16,30.000000,1,11,2333.000000,1592.000000,0.783298
50,0.500000,0.400000,3.500000,4,175,49,756,1285,"GRASP-PR heuristic",17,17.000000,1,0,0.001351,17,30.000000,1,9,2131.000000,1375.000000,0.815873
50,0.500000,0.400000,3.500000,5,175,49,849,1440,"GRASP-PR heuristic",19,19.000000,1,0,0.001449,19,30.000000,1,10,2389.000000,1540.000000,0.822857
50,0.500000,0.400000,3.500000,6,175,49,855,1331,"GRASP-PR heuristic",15,15.000000,1,0,0.001406,15,30.000000,1,10,2286.000000,1431.000000,0.760571
50,0.500000,0.400000,3.500000,7,175,49,898,1433,"GRASP-PR heuristic",16,16.000000,1,0,0.001478,16,30.000000,1,10,2431.000000,1533.000000,0.818857
50,0.500000,0.400000,3.500000,8,172,50,847,1387,"GRASP-PR heuristic",15,15.000000,1,0,0.001422,15,30.000000,1,9,2324.000000,1477.000000,0.895995
50,0.500000,0.400000,3.500000,9,168,50,838,1203,"GRASP-PR heuristic",16,16.000000,1,0,0.001284,16,30.000000,1,8,2121.000000,1283.000000,0.895089
50,0.500000,0.400000,3.500000,10,172,49,882,1271,"GRASP-PR heuristic",13,13.000000,1,0,0.001348,13,30.000000,1,9,2243.000000,1361.000000,0.821059
50,0.500000,0.400000,3.500000,11,172,49,787,1223,"GRASP-PR heuristic",14,14.000000,1,0,0.001285,14,30.000000,1,9,2100.000000,1313.000000,0.790052
50,0.500000,0.400000,3.500000,12,175,48,829,1264,"GRASP-PR heuristic",17,17.000000,1,529,0.007372,18,30.000000,1,9,2183.000000,1354.000000,0.802540
50,0.500000,0.400000,3.500000,13,175,50,794,1225,"GRASP-PR heuristic",16,16.000000,1,0,0.001291,16,30.000000,1,8,2099.000000,1305.000000,0.875000
50,0.500000,0.400000,3.500000,14,165,49,742,1203,"GRASP-PR heuristic",14,14.000000,1,0,0.001272,14,30.000000,1,10,2045.000000,1303.000000,0.729091
50,0.500000,0.400000,3.500000,15,175,48,815,1298,"GRASP-PR heuristic",17,17.000000,1,0,0.001372,17,30.000000,1,9,2203.000000,1388.000000,0.824127
50,0.500000,0.400000,3.500000,16,175,49,801,1406,"GRASP-PR heuristic",17,17.000000,1,0,0.001397,17,30.000000,1,10,2307.000000,1506.000000,0.803429
50,0.500000,0.400000,3.500000,17,175,50,739,1260,"GRASP-PR heuristic",15,15.000000,1,0,0.001294,15,30.000000,1,9,2089.000000,1350.000000,0.800000
50,0.500000,0.400000,3.500000,18,175,49,798,1405,"GRASP-PR heuristic",16,16.000000,1,0,0.001444,16,30.000000,1,10,2303.000000,1505.000000,0.802857
50,0.500000,0.400000,3.500000,19,175,50,796,1263,"GRASP-PR heuristic",15,15.000000,1,0,0.001323,15,30.000000,1,9,2149.000000,1353.000000,0.801905
50,0.500000,0.400000,3.500000,20,172,49,737,1446,"GRASP-PR heuristic",19,19.000000,1,0,0.001482,19,30.000000,1,10,2283.000000,1546.000000,0.840698
50,0.500000,0.400000,4.000000,0,200,48,814,1289,"GRASP-PR heuristic",15,14.000000,0,1294477,15.009633,15,30.000000,1,7,2173.000000,1359.000000,0.920714
50,0.500000,0.400000,4.000000,1,200,47,859,1096,"GRASP-PR heuristic",12,12.000000,1,592335,7.243560,13,30.000000,1,6,2015.000000,1156.000000,0.913333
