n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
100,0.600000,0.800000,3.000000,8,147,97,1632,2657,Strengthened CPLEX MILP heuristic-start,32,32.000000,1,10105,134.647223,33,600.000000,1
100,0.600000,0.800000,3.000000,9,150,96,1571,2626,Strengthened CPLEX MILP heuristic-start,25,24.000000,0,78382,600.024561,26,600.000000,1
100,0.600000,0.800000,5.000000,1,250,97,1709,2600,Strengthened CPLEX MILP heuristic-start,35,34.000000,0,62336,600.024749,36,600.000000,1
100,0.600000,0.800000,5.000000,2,250,98,1586,2616,Strengthened CPLEX MILP heuristic-start,35,34.000000,0,36846,599.958070,35,600.000000,1
100,0.600000,0.800000,5.000000,3,250,94,1559,2572,Strengthened CPLEX MILP heuristic-start,24,24.000000,1,0,0.185148,24,600.000000,1
100,0.600000,0.800000,5.000000,4,250,96,1524,2534,Strengthened CPLEX MILP heuristic-start,29,27.000000,0,17274,599.958155,30,600.000000,1
100,0.600000,0.800000,5.000000,5,250,95,1666,2874,Strengthened CPLEX MILP heuristic-start,33,32.000000,0,23128,599.958227,33,600.000000,1
100,0.600000,0.800000,5.000000,6,245,96,1681,2739,Strengthened CPLEX MILP heuristic-start,26,26.000000,1,0,0.203333,26,600.000000,1
100,0.600000,0.800000,5.000000,7,250,98,1656,2625,Strengthened CPLEX MILP heuristic-start,41,40.000000,0,13979,599.954379,41,600.000000,1
100,0.600000,0.800000,5.000000,8,250,94,1591,2582,Strengthened CPLEX MILP heuristic-start,49,48.000000,0,22438,599.954186,49,600.000000,1
100,0.600000,0.800000,5.000000,9,250,91,1682,2600,Strengthened CPLEX MILP heuristic-start,33,33.000000,1,10325,139.003837,34,600.000000,1
100,0.600000,0.800000,5.000000,10,250,98,1535,2464,Strengthened CPLEX MILP heuristic-start,25,24.000000,0,24332,600.034176,25,600.000000,1
200,0.500000,0.800000,3.000000,0,150,191,3124,5137,Strengthened CPLEX MILP heuristic-start,31,31.000000,1,0,0.666792,31,600.000000,1
200,0.500000,0.800000,3.000000,1,150,184,3365,5471,Strengthened CPLEX MILP heuristic-start,30,29.000000,0,12847,600.116565,30,600.000000,1
200,0.500000,0.800000,3.000000,2,150,188,3186,5393,Strengthened CPLEX MILP heuristic-start,31,30.000000,0,38792,600.117661,31,600.000000,1
200,0.500000,0.800000,3.000000,3,150,191,3178,5097,Strengthened CPLEX MILP heuristic-start,21,20.000000,0,23099,600.137501,21,600.000000,1
200,0.500000,0.800000,3.000000,4,150,186,3306,5420,Strengthened CPLEX MILP heuristic-start,21,17.000000,0,7655,600.120009,21,600.000000,1
200,0.500000,0.800000,3.000000,5,150,187,3155,4988,Strengthened CPLEX MILP heuristic-start,24,22.000000,0,8754,600.134977,24,600.000000,1
200,0.500000,0.800000,3.000000,6,150,189,3222,5193,Strengthened CPLEX MILP heuristic-start,28,27.000000,0,11303,600.112992,28,600.000000,1
200,0.500000,0.800000,3.000000,7,150,185,3124,4989,Strengthened CPLEX MILP heuristic-start,23,22.000000,0,10526,600.118529,23,600.000000,1
200,0.500000,0.800000,3.000000,8,150,185,3435,4964,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,0,0.860201,18,600.000000,1
200,0.500000,0.800000,3.000000,9,150,189,3190,4924,Strengthened CPLEX MILP heuristic-start,22,21.000000,0,24204,600.124589,22,600.000000,1
200,0.500000,0.800000,5.000000,0,250,185,3279,5143,Strengthened CPLEX MILP heuristic-start,26,24.000000,0,4913,600.112317,26,600.000000,1
200,0.500000,0.800000,5.000000,1,250,184,3119,5626,Strengthened CPLEX MILP heuristic-start,25,25.000000,1,0,0.920282,25,600.000000,1
200,0.500000,0.800000,5.000000,2,250,186,3263,5259,Strengthened CPLEX MILP heuristic-start,24,23.000000,0,11668,600.113465,24,600.000000,1
